000477##Lanablue#Компонент для косметики Lanablue#LANABLUE - косметический активный ингредиент, обладающий высоким противовозрастным действием. LANABLUE - очищенный водный экстракт уникальной синезеленой микроводоросли, произрастающей в озере Кламат (США, штат Орегона), и содержащей аминокислоты и редкие элементы. Выраженный разглаживающий эффект подтвержден клиническими исследованиями. Внешний вид: прозрачная текучая жидкость голубого цвета. LANABLUE стабилен в гелях, водных и спиртовых растворах, эмульсиях. В крема добавляют в конце приготовления при температуре не выше 30-35 градусов. Рекомендуемая дозировка в косметике: 1-5%. Условия хранения: хранить в прохладном месте, после вскрытия лучше в холодильнике. #Корень|Главная|Масла и косметика|Компоненты для косметики#477.png#5 мл#10#260.00
002140##Liposentol-multi Комплекс витаминов#Компонент для косметики Liposentol-multi Комплекс витаминов#Концентрат витаминов A,E,F для производства кремов, масок для кожи, средство по уходу за волосами. ПроВитамин В5 называют витамином здоровья кожи и волос, препятствующему чрезмерной сухости кожи, и, как следствие, морщинообразованию. Кроме увлажняющего и регенерирующего эффекта, провитамин В5 увеличивает метаболическую активность. Его широко используют в дермокосметике при себорее, угревой сыпи, сухости кожи, фурункулезе и заболеваний волос и дермы головы. Можно использовать в солнцезащитных рецептурах, замутненных пеномоющих средствах для волос и тела, кондиционеры-ополаскиватели и маски для волос. Особенно показан в качестве поливитаминной добавки в кремовые составы по уходу за кожей и волосами после химической обработки. Жидкие крема -1-3% (сливки, молочко, крема для тела, для снятия макияжа); крема увлажняющие, питательные, фото-водозащитные - 2-4%; маски косметические - 3-8%; шампуни - 0.5-1.0%; бальзамы-ополаскиватели - 0.5-1.0%. Состав: пантенол, этилпантенол, никотинамид, аскорбиновая кислота, аскорбат натрия, салицилат натрия, лимонная кислота, гликолевая кислота, молочная кислота, гиалуронат натрия. #Корень|Главная|Масла и косметика|Компоненты для косметики#Liposentol.jpeg#10 гр#10#60.00
002141##SI-MATRIX Липосомы#Компонент для косметики SI-MATRIX Липосомы#NCI: WATER (AQUA), GLYCERIN, LECITHIN, SORBITOL, XANTHAN GUM, METHYLSILANOL MANNURONATE, DIATHOMEACEOUS EARTH Additives: PHENOXYETHANOL, CAPRYLYL GLYCOL, DISODIUM EDTA, GLYCERYL CAPRYLATE Внешний вид: гелеобразная непрозрачная жидкость молочного цвета с характерным запахом. Si-Matrix – био-вектор для разглаживания кожи и сокращения морщин, восстановления структуры и упругости дермы. Этот актив универсален: его можно использовать для лица, для зоны декольте, для упругости тела и для волос. Применение: Si-Matrix стимулирует синтезколлагена, эластина, и природных веществ,связывающих влагу в коже; защищает кожу от воздействия свободных радикалов; улучшает клеточную регенерацию, разглаживает морщины; оказывает противовоспалительное действие, уменьшает покраснение кожи и отек; оказывает антицеллюлитное действие; выравнивает поверхность кожи, сглаживает рубцы и растяжки; обладает лифтинг-эффектом и укрепляет волосы, препятсвуя их выпадению и ломкости. Рекомендованный ввод: 1-3% для тела и волос, 3-5% для лица Технология ввода: добавлять в готовую эмульсию вместе с другими активами при температуре ниже 50 С. Хранение: в прохладном темном месте.#Корень|Главная|Масла и косметика|Компоненты для косметики#SI-MATRIX_liposomy.png#10 гр#10#160.00
069223##Аква Шаттл#Компонент для косметики Аква Шаттл#Состав: Water, Glycerin, Lecithin, Sorbitol , Xanthan Gum, Laminaria digitata extract, Diathomeaceous earth, Preservatives system. Интенсивный пролонгированный увлажняющий комплекс на основе структуры уникальной диатомовой водоросли. Целью структуры Аква-шаттл является возможность проникновения активных ингредиентов не только в роговой слой, но также достижение и более глубоких слоев кожи. Применяется в увлажняющие кремы, лосьоны, сыворотки, маски для лица и тела; увлажняющие средства для кожи век и губ; шампуни, бальзамы, маски для волос. Условия хранения: хранить в прохладном темном месте. Условия использования: добавлять в активную фазу приготовления при температуре не выше 40 градусов. Растворимость: растворим в воде. Рекомендуемая концентрация: средства для волос - 1-3%, для лица - 5-10%, для тела - 1-3%. #Корень|Главная|Масла и косметика|Компоненты для косметики#akva_shattl.jpeg#10 гр#10#120.00
000478##Аллантоин#Компонент для косметики Аллантоин#Аллантоин - косметический ингредиент биологического происхождения, обладает противовоспалительным и защитным действием, сужает поры, смягчает кожу, стимулирует регенерацию тканей. Аллантоин может использоваться в составе кремов, лосьонов, тоников, солнцезащитных препаратов (как для предохранения от загара, так и для обожженной кожи), дезодорантов. При использовании в шампунях аллантоин защищает луковицы волос от повреждения при окраске и химической завивке. Внешний вид: бесцветные кристаллы, растворимые в горячей воде. Рекомендуемая дозировка в косметике: 0,5-1%, добавляется в водную фазу, не нагревать выше 60 градусов. #Корень|Главная|Масла и косметика|Компоненты для косметики#478.png#10 гр#10#60.00
000479##Алоэ Вера гель#Компонент для косметики Алоэ Вера гель#Гель Алоэ Вера - натуральный природный компонент, полученный из листьев Алоэ. Гель Алоэ Вера содержит антиоксиданты, аминокислоты, витамины A, B, C, Е и полисахариды, которые способствуют поддержанию чистоты и упругости тканей кожного покрова, снижая образование морщин, а также помогают защитить кожу от ультрафиолетовых лучей и радиации. Гель Алоэ Вера обладает ранозаживляющим, противовоспалительным и болеутоляющим действием. Регулярное применение кремов, содержащих гель Алоэ Вера, способствует снижению пигментации кожи. Может быть использован в чистом виде, а также как компонент косметических средств в сочетании с растительными маслами (особенно с кокосовым и кунжутным). Рекомендуемая дозировка и применение: в составе кремов - 5-10%, гель Алоэ Вера вводят в крем в самом конце, без нагрева. #Корень|Главная|Масла и косметика|Компоненты для косметики#479.png#100 гр#10#350.00
000479##Алоэ Вера гель#Компонент для косметики Алоэ Вера гель#Гель Алоэ Вера - натуральный природный компонент, полученный из листьев Алоэ. Гель Алоэ Вера содержит антиоксиданты, аминокислоты, витамины A, B, C, Е и полисахариды, которые способствуют поддержанию чистоты и упругости тканей кожного покрова, снижая образование морщин, а также помогают защитить кожу от ультрафиолетовых лучей и радиации. Гель Алоэ Вера обладает ранозаживляющим, противовоспалительным и болеутоляющим действием. Регулярное применение кремов, содержащих гель Алоэ Вера, способствует снижению пигментации кожи. Может быть использован в чистом виде, а также как компонент косметических средств в сочетании с растительными маслами (особенно с кокосовым и кунжутным). Рекомендуемая дозировка и применение: в составе кремов - 5-10%, гель Алоэ Вера вводят в крем в самом конце, без нагрева. #Корень|Главная|Масла и косметика|Компоненты для косметики#479.png#1 кг#10#3000.00
002144##Альгинат натрия#Компонент для косметики Альгинат натрия#Альгинат натрия - порошок белого цвета, легко растворимый в воде. Рекомендуемая дозировка: ок.0,5-1,5% В косметический средствах используется как регулятор вязкости кремов, шампуней, гелей для душа, улучшающий стабильность и свойства продукта, а также как исходный материал для альгинатных масок. Основное достоинство альгинатных масок в том, что они могут использоваться для любого типа кожи: они будут полезны и эффективны для нормальной, комбинированной, сухой, жирной кожи. Альгинатные маски можно применять для ухода за возрастной кожей – это ещё одно их неоспоримое преимущество. В сочетании с грамотным домашним уходом и другими профессиональными процедурами альгинатные маски предупреждают появление ранних морщинок, разглаживают кожу, поддерживают её тонус. В лечении проблемной кожи альгинатные маски незаменимы. Введение в них дополнительных биологических компонентов (эфирных масел, экстрактов лекарственных растений, коллагена, противовоспалительных веществ и др.) позволяет добиться более высокой эффективности их применения.  #Корень|Главная|Масла и косметика|Компоненты для косметики#alginat.jpeg#50 гр#10#150.00
006180##Атолигомер#Компонент для косметики Атолигомер#Концентрат микроэлементов морской воды, обладающий регенерирующими свойствами и насыщенный минералами. Cпособствует ревитализации кожи. Внешний вид: белый порошок. Растворимость: водорастворим. Рекомендованный ввод: - эмульсия: 0,05-2%; обертывание тела: от 2% до 10%, регенерация морской воды: Atoligomer 0,75% + 2,25% NaCl + вода; тоник: не более 0,5% Хранение: в темном прохладном месте. Высокая концентрация микроэлементов и минералов обеспечивает сохранение в нем всех полезных свойств морской воды. Атолигомер улучшает когезию (прочность) в клетке, является источником минералов и микроэлементов, заряжает энергией за счет своего минерализующего действия, усиливает плотность кожи, восстанавливает баланс минералов в коже, укрепляет и обновляет эпидермис. Атолигомер обладает активным комплексным действием: стимулирует кровообращение, насыщает клетки кожи кислородом и незаменимыми питательными компонентами, увлажняет кожу, удерживая необходимое количество воды в клетках, восполняет минеральный состав в клетках кожи, улучшает обмен веществ и способствует регенерации клеток кожи, повышает активность клеток кожи, замедляет процессы старения кожи, повышает упругость кожи. успокаивает и устраняет воспаление, стимулирует синтез гемоглобина, подходит для любого типа кожи. Применяется для усталой кожи, для кожи головы, укрепления слабых ногтей и волос, увлажнения кожи, ревитализации кожи.#Корень|Главная|Масла и косметика|Компоненты для косметики#gialuronat_natriya2.jpeg#20 гр#10#100.00
007991##Бетаин#Компонент для косметики Бетаин#Бетаин Описание: мелкие кристаллы бежевато-белого цвета. Вкус - сладкий. Водорастворим. Бетаин получают из сахарной свеклы. Условия использования: растворяется в теплой воде. Добавляется в виде водного раствора к уже готовой эмульсии при температуре ниже 40°C.  Бетаин натуральный полностью натуральный продукт, содержится в растениях и животных (особенно ракообразных), относится к классу аминокислот и обладает большим спектром косметических свойств.  Придает коже гладкость, ровность, мягкость, улучшает внешний вид кожи, делает волосы более сильными, увлажняет кожу головы, способен надолго удерживать воду в клетках кожи, уменьшает трансдермальную потерю воды, защищает мембраны клеток, улучшает переносимость кожей ПАВов и эмульгаторов, устраняет раздражения кожи, вызванные неблагоприятным действием ПАВ, уменьшает поверхностное напряжение и стабилизирует пену, поэтому часто используется в составе пенок для ухода и очищения кожи, улучшает растворимость многих активных веществ, совместим с АНА-кислотами, снижая их раздражающее кожу действие, используется в натуральной и органической косметике, биологически разлагаемый продукт, не оказывает негативного влияния на окружающую среду.  В косметике используется в детских шампунях и очищающих средствах, очищающих средствах для лица, гелях и молочке , для умывания, мыле, пенах для ванны, дезодорантах для чувствительной кожи, увлажняющих, успокаивающих, защитных лосьонах и кремах для лица и тела, кремах для рук, увлажняющих масках для лица, противозрастных кремах для кожи, кремах с АНА-кислотами, при уходе за областью вокруг глаз, при лечении сухой кожи лица, тональных кремах для лица, детской косметике (молочко, лосьоны, кремы), лосьонах после бритья (снимает раздражение), солнцезащитных средствах, при уходе за кожей после солнечных ванн.  При уходе за волосами в шампунях и бальзамах для волос, кондиционерах для волос, лосьонах для кожи головы, лечебных тониках для волос. Ввод в смеси: от 2% до 10%.#Корень|Главная|Масла и косметика|Компоненты для косметики#496.png#20 гр#10#60.00
