mo9405##Кольцо и цепь для ключей, цвет серебро#Кольцо и цепь для ключей, цвет серебро, длина 53 мм#Кольцо и цепь для ключей, цвет серебро, длина 53 мм #Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#koltso_i_tsep_dlya_klyuchey__tsvet_serebro.jpeg#53 мм#10#10.00
mo0973##Цепочка 01, цвет серебро#Цепочка 01, цвет серебро, размеры 2х3 мм#Цепочка для бижутерии 01, цвет серебро, размеры 2х3 мм. #Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka__tsvet_serebro.jpeg#1000 мм#10#50.00
mo4020##Цепочка 02, цвет серебро#Цепочка 02, цвет серебро, размеры 2х3 мм#Цепочка для бижутерии 02, цвет серебро, размеры 2х3 мм. #Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_2__tsvet_serebro.jpeg#1000 мм#10#45.00
mo0847##Цепочка 03, цвет античная бронза#Цепочка для бижутерии 03, цвет античная бронза, размеры 3х4 мм#Цепочка для бижутерии 03, цвет античная бронза, размеры 3х4 мм.#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka__tsvet_antichnaya_bronza.jpeg#1000 мм#10#30.00
mo2753##Цепочка 04, цвет серебро#Цепочка для бижутерии 04, цвет серебро размеры 3х4 мм#Цепочка для бижутерии 04, цвет серебро, размеры 3х4 мм.#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_4__tsvet_serebro.jpeg#1000 мм#10#45.00
mo0724##Цепочка 05, цвет серебро#Цепочка для бижутерии 05, цвет серебро размеры 3х4 мм#Цепочка для бижутерии 05, цвет серебро, размеры 3х4 мм.#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_5__tsvet_serebro.jpeg#1000 мм#10#15.00
mo0832##Цепочка 06, цвет античная бронза#Цепочка для бижутерии 06, цвет античная бронза, размеры 3х4 мм#Цепочка для бижутерии 06, цвет античная бронза, размеры 3х4 мм.#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_6__tsvet_antichnaya_bronza.jpeg#1000 мм#10#36.00
mo2778##Цепочка 07, цвет античная бронза#Цепочка для бижутерии 07, цвет античная бронза, размеры 2х3 мм#Цепочка для бижутерии 07, цвет античная бронза, размеры 2х3 мм.#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_7__tsvet_antichnaya_bronza.jpeg#1000 мм#10#45.00
mo3656##Цепочка 08, цвет серебро#Цепочка для бижутерии 08, цвет серебро размеры 2,2х3 мм#Цепочка для бижутерии 08, цвет серебро, размеры 2,2х3 мм.#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_8__tsvet_serebro.jpeg#1000 мм#10#45.00
mo5316##Цепочка 09, цвет серебро#Цепочка для бижутерии 09, цвет серебро размеры 2х3 мм#Цепочка для бижутерии 09, цвет серебро, размеры 2х3 мм.#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_09__tsvet_serebro.jpeg#1000 мм#10#20.00
mo5317##Цепочка 10, цвет серебро#Цепочка для бижутерии 10, цвет серебро размеры 3х4,5 мм#Цепочка для бижутерии 10, цвет серебро, размеры 3х4,5 мм.#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_10__tsvet_serebro.jpeg#1000 мм#10#20.00
mo0972##Цепочка Квадратик, цвет серебро#Цепочка Квадратик, цвет серебро, размеры 7х8 мм#Цепочка для бижутерии Квадратик, цвет серебро, размеры 7х8 мм. #Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_kvadratik__tsvet_serebro.jpeg#1000 мм#10#40.00
mo0798##Цепочка Крест круглая, цвет серебро#Цепочка Крест круглая, цвет серебро, размеры 5х5 мм#Цепочка Крест круглая, цвет серебро, размеры 5х5 мм#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_krest_kruglaya__tsvet_serebro.jpeg#1000 мм#10#65.00
mo9694##Цепочка Крест, цвет античная бронза#Цепочка Крест, цвет античная бронза, размеры 8х4,5 мм#Цепочка для бижутерии 03, цвет античная бронза, размеры 8х4,5 мм#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_krest__tsvet_antichnaya_bronza.jpeg#1000 мм#10#37.00
mo4856##Цепочка Крест, цвет медь#Цепочка Крест, цвет медь, размеры 7х6 мм#Цепочка для бижутерии Крест, цвет медь, размеры 7х6 мм#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka_krest__tsvet_med.jpeg#1000 мм#10#40.00
mo4437##Цепочка-удлинитель, цвет серебро#Цепочка-удлинитель, цвет серебро, размеры 3х50 мм#Цепочка-удлинитель, цвет серебро, размеры 3х50 мм.#Корень|Главная|Товары для творчества|Фурнитура|Фурнитура для бижутерии|Цепи и цепочки#tsepochka-udlinitel__tsvet_serebro.jpeg#1 шт#10#3.00
