000001##Диоксид титана#Диоксид титана#При внесении диокида титана в прозрачную основу, она становится белой матовой. Диокид титана смешать с водой, 10 г на 250 мл, и хранить в смешаном виде в закрытой посуде. Перед внесением в мыльную основу смесь хорошо взболтать. #Корень|Главная|Мыловарение|Красители для мыла#1.png#10 гр#10#30.00
077130##Фотолюминисцентный пигмент#Фотолюминисцентный пигмент#Фотолюминисцентный пигмент позволяет сделать мыло, светящееся в темноте. Пигмент необходимо добавить в расплавленную мыльную основу. Пигмент оседает на дно формы. В прозрачном и белом мыле придает поверхности мыла слабый зеленый цвет. Застывшее мыло "зарядить" на свету, после чего оно будет светиться в темноте зеленым светом. #Корень|Главная|Мыловарение|Красители для мыла#fotolyuministsentnyi_pigment.jpeg#5 гр#10#100.00
000002##Алый#Краситель гелевый Алый#Алый гелевый краситель используют для придания цвета мылу или шампуню. Гелевые красители безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#alyi.png#10 мл#10#40.00
000002##Алый#Краситель гелевый Алый#Алый гелевый краситель используют для придания цвета мылу или шампуню. Гелевые красители безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#alyi.png#100 гр#10#150.00
000003##Бирюзовый#Краситель гелевый Бирюзовый#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#biryuzovyi3.png#10 мл#10#40.00
000003##Бирюзовый#Краситель гелевый Бирюзовый#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#biryuzovyi3.png#100 гр#10#150.00
000004##Голубой#Краситель гелевый Голубой#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#goluboy.png#10 мл#10#40.00
000004##Голубой#Краситель гелевый Голубой#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#goluboy.png#100 гр#10#150.00
000006##Зеленый#Краситель гелевый Зеленый#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#zelenyi_3.png#10 мл#10#40.00
000006##Зеленый#Краситель гелевый Зеленый#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#zelenyi_3.png#100 гр#10#150.00
000007##Клубничный#Краситель гелевый Клубничный#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#klubnichnyi_3.png#10 мл#10#40.00
000007##Клубничный#Краситель гелевый Клубничный#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#klubnichnyi_3.png#100 гр#10#150.00
