Артикул#Цена#Название продукта#Краткое описание#Описание#Категория#Изображения товара#Attribute Group: count#Количество комбинаций#Цена Комбинации
000001#30.00#Диоксид титана#Диоксид титана#При внесении диокида титана в прозрачную основу, она становится белой матовой. Диокид титана смешать с водой, 10 г на 250 мл, и хранить в смешаном виде в закрытой посуде. Перед внесением в мыльную основу смесь хорошо взболтать. #Корень|Главная|Мыловарение|Красители для мыла#1.png#10 гр#10#0
077130#100.00#Фотолюминисцентный пигмент#Фотолюминисцентный пигмент#Фотолюминисцентный пигмент позволяет сделать мыло, светящееся в темноте. Пигмент необходимо добавить в расплавленную мыльную основу. Пигмент оседает на дно формы. В прозрачном и белом мыле придает поверхности мыла слабый зеленый цвет. Застывшее мыло "зарядить" на свету, после чего оно будет светиться в темноте зеленым светом. #Корень|Главная|Мыловарение|Красители для мыла#fotolyuministsentnyi_pigment.jpeg#5 гр#10#0
000002#40.00#Краситель гелевый Алый#Алый#Алый гелевый краситель используют для придания цвета мылу или шампуню. Гелевые красители безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#alyi.png#10 мл#10#0
#######100 гр#10#110
000003#40.00#Краситель гелевый Бирюзовый#Бирюзовый#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#biryuzovyi3.png#10 мл#10#0
#######100 гр#10#110
000004#40.00#Краситель гелевый Голубой#Голубой#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#goluboy.png#10 мл#10#0
#######100 гр#10#110
000006#40.00#Краситель гелевый Зеленый#Зеленый#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#zelenyi_3.png#10 мл#10#0
#######100 гр#10#110
000007#40.00#Краситель гелевый Клубничный#Клубничный#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#klubnichnyi_3.png#10 мл#10#0
#######100 гр#10#110
000008#40.00#Краситель гелевый Коричневый#Коричневый#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#korichnevyi_3.png#10 мл#10#0
#######100 гр#10#110
000009#40.00#Краситель гелевый Малиновый#Малиновый#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#malinovyi_3.png#10 мл#10#0
#######100 гр#10#110
000010#40.00#Краситель гелевый Оранжево-желтый#Оранжево-желтый#Жидкие гелевые красители используют для придания цвета мылу или шампуню. Они безвредные, очень яркие и экономичные в применении. Допускается смешивание красителей разных цветов для получения нового оттенка. Гелевые красители удобны в использовании благодаря флакону с дозатором. #Корень|Главная|Мыловарение|Красители для мыла|Гелевые красители#oranzhevo-zheltyi.jpeg#10 мл#10#0
#######100 гр#10#110
